Vol,No,Year,Article,Author,Pages
1,1,2011,EDITORIAL: First HOOT from International Journal of Automation and Smart Technology,Chih-Kung Lee,45659
1,1,,The Application Trend of Smart Sensing Technology in Home of Building: An Example of a Green and Smart Building for the Seniors Citizens Offered by Farglory Land Development,Meng-Hsien Hsieh,45721
1,1,,"Crises and Chances: Year 2015, the first year of the “Taiwan Aging Power Era”","Ya-ling Kao, Shavonne Lin",45849
1,1,,Implant intelligent gene to automation: An interview with ITRI MSL Deputy General Director,Chih-Ting Lin,13-17
1,1,,Spotlight Editorial: Five Golden Years for Intelligent Automation Technology,Min-Hsiung Hung,19-20
1,1,,Applications of Intelligent Evolutionary Algorithms in Optimal Automation System Design,"Tung-Kuan Liu, Jyh-Horng Chou",21-34
1,1,,Motion and Virtual Cutting Simulation System for a Five-Axis Virtual Machine Tool,"Rong-Shean Lee, Ko-Jen Mei",35-39
1,1,,Development of an Augmented Reality Force Feedback Virtual Surgery Training Platform,"Ruei-Jia Chen, Hung-Wei Lin, Yeong-Hwa Chang, Chieh-Tsai Wu, Shih-Tseng Lee",41-51
1,1,,System Identification and Adaptive Tracking Control for a 3-DOF LCD Glass-handling Robot,"Rong-Fong Fung, Sin-Syun You",53-66
1,1,,Assessing Measurement Noise Effect in Run-to-Run Process Control: Extends EWMA Controller by Kalman Filter,"Tzu-Wei Kuo, An-Chen Lee",67-76
1,1,,Modeling and Control of Twin Parallel-Axis Linear Servo Mechanisms for High-Speed Machine Tools,"Wu-Sung Yao, Fu-Yun Yang, Mi-Ching Tsai",77-85
1,1,,Kinematic Analyses of a Parallel-type Independently Controllable Transmission,"Guan-Shyong Hwang, Der-Min Tsay, Wei-Hsiang Liao, Jao-Hwa Kuang, Tzuen-Lih Chern",87-92
1,1,,Taiwan Perspective: Developing Smart Living Technology,"Chih-Kung Lee, Julie Lee, Po-Wen Lo, Hsiao-Lin Tang, Wen-Hsin Hsiao, Jui-Yao Liu, Ting-Li Lin",93-106
1,2,,The Global Trend of Energy Saving and Carbon Reducing in Post-Kyoto Protocol Era,Chih-Lun Chen,45660
1,2,,An Anatomy of Automation Business Opportunity in China in Times of High Wages: Taiwanese Businessmen Invested in China as a Case,Ying-Mei Tai,45787
1,2,,When Civil Structures Bump into Automation Technologies: An interview with Dr. Kuo-Chun Chang,Chih-Ting Lin,45976
1,2,,Taiwan’s Fight with Nature Disasters: The Battle that Must Win,Kuang-Chong Wu,17
1,2,,Multifunctional Inshore Survey Platform with Unmanned Surface Vehicles,"Wen-Rong Yang, Cing-Ying Chen, Chao-Min Hsu, Chiung-Jung Tseng, Wen-Chang Yang",19-25
1,2,,Earthquake Early Warning Systems,Pei-Yang Lin,27-34
1,2,,Application of Near Real-Time and Multiscale Three Dimensional Earth Observation Platforms in Disaster Prevention,"Whey-Fone Tsai, Bo Chen, Jo-Yu Chang, Fang-Pang Lin, Charlie H. Chang, Chia-Yang Sun, Wen-Ray Su, Ming-Fu Chen, Dong-Sin Shih, Chih-Hsin Chen, Shyi-Ching Lin, Shiann-Jeng Yu",35-50
1,2,,Integrating Real-time Bridge Scouring Monitoring System with Mobile Location-Based Services,"Yung-Bin Lin, Kuo-Chun Chang, Chun-Chung Chen, Shih-Cheng Wong, Lu-sheng Lee, Yung-Kang Wang, Meng-Huang Gu",51-62
1,2,,Disaster Prevention and Rescue Information Service Platforms,"Wen-Ray Su, Chun-Hung Huang, Shang-Yu Wu, Jerry Chow, Mei-Chun Kuo, Pai-Hui Hsu, Hsueh-Cheng Chou",63-71
1,2,,Rapid Flood Evaluation Systems in Taiwan Metropolitan Areas,"Wen-Dar Guo, Wei-Sheng Feng, Yu-Chi Wang, Hsin-Ya Ho",73-82
1,2,,A VR-based Calligraphy Writing System with Force Reflection,"Chang-Wei Liang, Mu-Cheng Hsieh, Kuu-young Young",83-91
1,2,,A Planar Laser Diffraction Encoder in Littrow Configuration for 2D Nanometric Positioning,"Kuang-Chao Fan, Bor-Cheng Lee, Yi-Cheng Chung",93-99
1,2,,A Feasibility Study on the Measurement of the PWS of Butterfly-Type Laser Module Packages Employing a Micro Polygon-Mirror and PSD,"Ying-Chien Tsai, Wei-Ran Lin, Guang-Miao Huang, YU-Da Liu, Wood-Hi Cheng",101-109
1,2,,High Performance FOV Switching Mechanism Design for an Infrared Zoom Lens,"Chun-Ju Huang, Cheng-Shi Tsai, Bo-Ru Chen, Jia-Yush Yen, Jyh-Fa Lee, Liu-Hus Lin, Min-Shin Chen",111-119
2,1,2012,SPECIAL ISSUE: Bio-Inspired Sensing and Actuation,Yao-Joe Joseph Yang,45659
2,1,,Strengths of Taiwan’s Medical Device Industry,Tsz-Yin Chang,45722
2,1,,Taiwan’s Path to Innovative R&D and Applications: “Technology-Driven” and “Location-Driven” Pilot Programs,"Pei-Chen Tsai, Shang-Hui Lin",45848
2,1,,Stair Climbing in a Quadruped Robot,"Shen-Chiang Chen, Chih-Chung Ko, Cheng-Hsin Li, Pei-Chun Lin",45981
2,1,,An Integrated Microfluidic Chip for Rapid Methanol Detection,"Ting-Fu Hong, Wei-Jhong Ju, Chien-Hsiung Tsai, Yao-Nan Wang, Lung-Ming Fu",21-27
2,1,,Development of Navigation Schemes for Grouped Mobile Robots Leading to Biomimetic Applications,"Ming-Hsin Chen, Yu-Te Fu, Kuang-Shun Ou, Kuo-Shen Chen",29-41
2,1,,Microdroplet Protein Sensors on a Gold Surface with a Self-assembled Monolayer Treatment,"Tzu-Chun Liao, J. Andrew Yeh",43-48
2,1,,Calcium Ion Detection Using Miniaturized InN-based Ion Sensitive Field Effect Transistors,"Kun-Wei Kao, Yun-Wen Su, Yen-Sheng Lu, Shangjr Gwo, J. Andrew Yeh",49-54
2,1,,Development of Tuning Fork-shaped Clamps with Nickel-electroded Ionic Polymer Metal Composites,"Guo-Hua Feng, Wei-Lun Huang",55-62
2,1,,PDMS-based Optical Leaky Waveguide Coated with Self-assemble Au-NPs for Bio-analytical Detections,"Yi-Chieh Chen, Wei-Lung Tseng, Che-Hsin Lin",63-68
2,1,,Digital Microfluidics with Bubble Manipulations by Dielectrophoresis,"Shih-Kang Fan, Di-Yu Lin",69-74
2,2,,"Growing trend of network-based, smart green buildings towards automatic energy-saving performance: A study based on Advantech’s energy-saving system",Chung-Ming Tung,75-77
2,2,,From Competition to Cooperation - Development and Practices of Open Innovation Systems,Hsiu-ling Li,79-81
2,2,,Design and Implementation of a Data Exchange Platform for TFT-LCD Virtual Production Control Systems,"Min-Hsiung Hung, Yu-Chuan Lin, Shih-Hao Li, Haw-Ching Yang, Fan-Tien Cheng",83-94
2,2,,Development of High-precision Micro CNC Machine with Three-dimensional Measurement System,"Chih-Liang Chu, Tzu-Yao Ta, Yun-Hui Liu, Chin-Tu Lu, Cheng-Hsin Chuang, Hong-Wei Liao",95-101
2,2,,High Efficient Synchronization-on-demand Protocol of IEEE 802.15.4 Wireless Sensor Network for Construction Monitoring,"Ji-De Huang, Wen-Jong Wu, Chih-Ting Lin",103-109
2,2,,Using a Multi-touch Panel to Control Lights in Indoor Public Spaces — Prototype Designs and User Studies,"I-Ling Chen, Shih-Chung Kang",111-120
2,2,,Characterization of an 2x2 SCB Optical Switch Integrated with VOA,"Hen-Wei Huang, Yao-Joe Yang",121-131
2,2,,A Feasibility Study of a Bearingless Motor Based on Three-pole Active Magnetic Bearing,"Shyh-Leh Chen, Shang-Yu Hsu, Pai-Lu Wang, Darping Juang",133-140
2,2,,Multi-sensor Approach for Multivalent Applications in Nanometrology,"Manske Eberhard, Gerd Jäger",141-145
2,2,,Vision-Based Imitation Learning in Heterogeneous Multi-Robot Systems: Varying Physiology and Skill,"Jeff Allen, John Eric Anderson, Jacky Baltes",147-161
2,2,,A Novel Grey-RSS Navigation System Design for Mobile Robots,"Albert Yao, Hsin-Te Liao, Shiou-De Chen",163-169
2,3,,SPECIAL ISSUE: Living Lab,Pei-Ling Liu,171-172
2,3,,Trend Analysis on the Automation of the Notebook PC Production Process,Chin-Ching Yeh,173-175
2,3,,The Industrial Specialization and Economic Contribution of the Smartphone Supply Chain: The Case of Apple and HTC,"Wen-Nan Tsan, Chi Chang, Bo-Chi Lin, Wen-Yao Han, Nan-Shiun Chu",177-188
2,3,,Initiation of the Suan-Lien Living Lab – a Living Lab with an Elderly Welfare Focus,Shih-Chung Kang,189-199
2,3,,The City of the Future Living Lab,"Sauro Vicini, Sara Bellini, Alberto Sanna",201-208
2,3,,Application of the Living Lab Concept: Empirical Validation in Taiwan's Minsheng Community,"Gary Gong, Meili Hsiao, Ming-Der Hsieh, Laura Liu, Tony Chiu, Li-Chieh Lin, Kuan-Ting Chen, Belinda Chen, Hsiao-Hung Lin, Emily Fang, Mina Wang, Jimi Yung-Chuan Wen",209-229
2,3,,The Transformation of Users in Living Lab Construction: The Case of Eco-City Living Lab,"Wen-Yuan Lin, Chin-Teng Lin, Yi-Hua Wang, Rong-Tai Chen",231-240
2,3,,"First come, First served: Enhancing the Convenience Store Service Experience","Yuan-Ling Chiao, Ching-Hu Lu, Peiling Liu",241-252
2,3,,TOUCH Doctor — A Nutrition Control Service System Developed under Living Lab Methodology,"Chi-Kun Eddy Lin, Ting-Hui Wang, Jar-Ferr Kevin Yang",253-263
2,3,,Developing an Engineering Data Bank Service for the Precision Machinery Industry Cluster Using the Living Lab Concept,"Kuo-Shu Luo, Shiang-Shin Lin, Kuei Kai Shao, Hui-Hua Lin",265-275
2,4,,SPECIAL ISSUE: Intelligent Robotics (1/2),Yi-Hung Liu,277-278
2,4,,A Survey of the Automation Intelligence of Machine Tools in Taiwan,Su-Yun Chiang,279-281
2,4,,Establishing Urban Industrial Parks to Drive Regional Innovation System,Chih-Lun Chen,283-286
2,4,,An Embedded System for Tracking Human Motion and Humanoid Interfaces,"Ming-June Tsai, Hung-Wen Lee, Trinh-Ngoc Chau, Chia-Hong Chao",287-293
2,4,,Automatic 3-D Optical Detection on Orientation of Randomly Oriented Industrial Parts for Rapid Robotic Manipulation,"Liang-Chia Chen, Manh-Trung Le, Xuan-Loc Nguyen",295-300
2,4,,Hand-Eye Coordination for Robotic Assembly Tasks,"Wen-Chung Chang, Chia-Hung Wu",301-308
2,4,,Design of an Intelligent Soldier Combat Training System,"Zen-Chung Wang, Ching-Chih Tsai, Ming-Chen Chien",309-317
2,4,,Real-Time Analysis of Beats in Music for Entertainment Robots,"Yue-Der Lin, Ting-Tsao Wu, Yu-Ren Chen, Yen-Ting Lin, Wen-Hsiu Chen, Shih-Fan Wang, Jinghom Chakhap",319-328
2,4,,Advanced Driving Assistance Systems for an Electric Vehicle,"Pau Muñoz-Benavent, Leopoldo Armesto, Vicent Girbés, J. Ernesto Solanes, Juan F. Dols, Adolfo Muñoz, Josep Tornero",329-338
2,4,,An Analytical Solution for a Redundant Manipulator with Seven Degrees of Freedom,"Takashi Nammoto, Kazuhiro Kosuge",339-346
3,1,2013,SPECIAL ISSUE: Intelligent Robotics (2/2),Liu Yi-Hung,45659
3,1,,Automated Devices in Taiwan’s Telemedicine Industry,Li-Lun Yeh,45721
3,1,,“Big Data” Makes Smart Living Come True,Ya-ling Kao,45815
3,1,,Preliminary Development of an Automated Optical Inspection System for Quality Control of Circular Saw Inserts,"Wen-Tung Chang, Shui-Fa Chuang, Cheng-Yu Li, Fang-Jung Shiou, Geo-Ry Tang",45917
3,1,,Behavior-based Task Learning by Demonstration on Mobile Manipulation,"Shu Huang, Erwin Aertbeliën, Herman Bruyninckx, Hendrik Van Brussel",19-28
3,1,,Portable 3D laser-camera calibration system with color fusion for SLAM,"Javier Navarrete, Diego Viejo, Miguel Cazorla",29-35
3,1,,Sequential Quadratic Method for GPS NLOS Positioning in Urban Canyon Envi-ronments,"He-Sheng Wang, Chen-Ying Kao, Jing-Fen Chen",37-46
3,1,,ESAIR: A Behavior-Based Robotic Software Architecture on Multi-Core Processor Platforms,"Chin-Yuan Tseng, Yu-Lun Huang, Jwu-Sheng Hu",47-56
3,1,,Target Object Identification and Location Based on Multi-sensor Fusion,"Yong Jiang, Hong-Guang Wang, Ning Xi",57-65
3,1,,Controlling a Rehabilitation Robot with Brain-Machine Interface: An approach based on Independent Component Analysis and Multiple Kernel Learning,"Yi-Hung Liu, Han-Pang Huang, Tzu-Hao Huang, Zhi-Hao Kang, Jyh-Tong Teng",67-75
3,2,,Trends of System Management Software Development in the Context of Data Center Management Automation,Yi-Ling Wei,77-79
3,2,,Building Sustainable Regions of Urban Innovation and Industry Development,Hsiu-ling Li,81-83
3,2,,Optical Body-Surface Profiling with Coded Markers for Medical Image Registration,"Jen-Tzong Jeng, Chia-Lun Shu, Jia-Chiang Wang",85-90
3,2,,Fatigue Minimization Work Shift Scheduling for Air Traffic Controllers,"Ta-Chung Wang, Guo-Chuan Ke",91-99
3,2,,Radio Frequency Identification (RFID) Inserted Fixed Prosthesis and its Applications in Clinical Dentistry,"Yu-Jung Li, Chia-Ke Chang, Guang-Ming Lin, Chih-Cheng Lu",101-105
3,2,,Construction of a High Frequency and High Reflectance Shutter for a Direct Write EUV Lithography System,"Jyun-Yan Chuang, Jia-Yush Yen, Bin-Yih Juang, Wen-Pin Weng, Mon-Hsun Lin",107-115
3,2,,Effects of Microlens Array Lens Size on Sub-Aperture Images in Light Field Cameras,"Pei-Chuen Chiou, Cheng-Han Tsai, Chun-Fu Yang, Jia-Han Li",117-120
3,2,,The Impacts of Weighting Functions on the Robust Performance of a Multi-Axial Piezoelectric Stage,"Fu-Cheng Wang, Ru-Chang Wu",121-129
3,2,,Micro-lens Array Fabrication by Two Photon Polymerization Technology,"Tien-Tung Chung, Yi-Ting Tu, Ya-Hsun Hsueh, Sheng-Yuan Chen, Wan-Jou Li",131-135
3,3,,"Advanced Analyses of Technology Innovations, Patents, and Intellectual Property",Amy J. C. Trappey,137-138
3,3,,Analysis of Demand for Intelligent Automation in Taiwan’s Notebook PC Assembly Industry,Ying-Mei Tai,139-141
3,3,,Applying Hybrid-Quantity Analysis in the Asia Semiconductor Industry,"Chin-Yuan Fan, Ming-Fong Lai, Shu-Hao Chang",143-153
3,3,,Ontology-based Patent Licensing and Litigation Strategic Knowledge System for the Light Emitting Diode Industry,"Amy J.C. Trappey, Yu-Hui Wang, Charles V. Trappey, Chun-Yi Wu, Tzu-Hsuan Lin",155-167
3,3,,Innovation Effect on Patent Pool Formation:Empirical Case of Philips’ Patents in Digital Versatile Disc 3C,"Yu-Hui Wang, Benjamin Liu",169-177
3,3,,Application of the Honeybee Mating Optimization Algorithm to Patent Document Classification in Combination with the Support Vector Machine,"Chui-Yu Chiu, Pei-Ting Huang",179-191
3,3,,Exploring the Innovative Value of the RFID Industry,"Pei-Shu Fan, Cheng-Chin Tsao, Yi-Ching Liaw",193-201
3,4,,Expanding Taiwanese Industrial Robot Penetration in Europe and the US,Chung-Hung Huang,203-205
3,4,,Responding to Industrial Transformation and Upgrade — New Concept for Intellectual Property Management Services Development in Taiwan,Chih‐Lun Chen,207-210
3,4,,A Computer-aided Workholding Planning Method and its Operation Using a New Automation-viable Fixture,Che-Chih Tsao,211-220
3,4,,Active Vibration Isolation Using a Voice Coil Actuator with Absolute Velocity Feedback Control,"Yun-Hui Liu, Wei-Hao Wu",221-226
3,4,,Stochastic Diffusion Analysis for Sustainable Green Innovation,"Yenming J. Chen, Chi-Ye Lan",227-237
3,4,,Residual Stress of Curvature Sapphire Substrate with GaN Film Released by the Application of Trench Structures,"Ming-Han Liao, Jyh-Jone Lee, Chih-Hua Chen, Ssu-Chieh Kao, Kuan-Chou Chen, Cho-Fan Hsieh",239-243
3,4,,Development and Control of Novel Vibration Isolation Platform,"Meng-Shiun Tsai, Yann-Shuoh Sun, Zhong‐Shian Wu",245-250
3,4,,Design and Evaluation of a Multi-degree-of-freedom Piezoelectric Microactuator and its Applications,"Sheng-Chih Shen, Yi-Cheng Chen",251-257
3,4,,Design of the Piezoelectric Actuator with Double Driving Tips,"Shyang-Jye Chang, Jing Chen",259-263
3,4,,Precision Positioning with Shape-Memory-Alloy Actuators,"Kai-Hung Liang, Kuo-Han Kao, Szu-Chi Tien",265-271
3,4,,Navigation Method for Autonomous Robots in a Dynamic Indoor Environment,"Stanislav Věchet, Kuo-Shen Chen, Jiří Krejsa",273-277
4,1,2014,Trend Analysis for the Market and Application Development of 3D Printing,Chin-Ching Yeh,45660
4,1,,Real-time image acquisition and deblurring for underwater gravel extraction by smartphone,"Ming-Fu Chen, Yi-Chiun Kung, Shih-Jie Chou, Wei-Shen Lo, Chi-Kuei Wang",45788
4,1,,A Review of Ubiquitous Mobile Sensing Based on Smartphones,"Chih-Yen Chen, Yung-Hsiang Chen, Chun-Fu Lin, Chun-Jen Weng, Hung-Chun Chien",13-19
4,1,,The improvement of Si0.5Ge0.5/Si interface quality by using low energy hydrogen plasma cleaning process and positron annihilation spectroscopy,"Cho-Fan Hsieh, Chen-Wei Chen, Chih-Hua Chen, Ming-Han Liao",21-26
4,1,,Simultaneous Hand-Eye-Workspace and Camera Calibration using Laser Beam Projection,"Jwu-Sheng Hu, Yung-Jung Chang",27-42
4,1,,An Interactive Auto-recharging System for Mobile Robots,"Kuo-Lan Su, Yi-Lin Liao, Shih-Ping Lin, Sian-Fu Lin",43-53
4,1,,Frequency-based Vehicle Idling Detection,"Kai-Chao Yang, Chih-Ting Kuo, Chun-Yu Chen, Chih-Chyau Yang, Chien-Ming Wu, Chun-Ming Huang",55-61
4,2,,The Trend towards “Smart Cities”,Chien-Chu Chen,63-66
4,2,,Analysis of Magnetic Assisted Assembly of Meso-Scale Parts,"Hong-Hua Ko, Dung-An Wang",67-76
4,2,,A Magnetic Micropump Based on Ferrofluidic Actuation,"Lung-Ming Fu, Wei-Ching Fang, Ting-Fu Hong, Chia-Yen Lee",77-82
4,2,,Label-free Live and Dead Cell Separation Method Using a High-Efficiency Optically-Induced Dielectrophoretic (ODEP) Force-based Microfluidic Platform,"Song-Bin Huang, Shing-Lun Liu, Jian-Ting Li, Min-Hsien Wu",83-91
4,2,,An Effective Power Management Circuit system for Energy Harvesting Applications,"Chun-Chang Wu, Yu-Jie Huang, Yi-Cheng Chiou, Yu-Hao Chen, Shey-Shi Lu",93-98
4,2,,Solar Battery Charger in CMOS 0.25 um Technology,"Tao Wang, Chang-Ching Huang, Tian-Jen Wang",99-103
4,2,,Fabrication Suspended High-Aspect-Ratio Parylene Structures for Large Displacement Requirements,"Wen-Cheng Kuo, Chen-Wei Chen",105-112
4,2,,A Conceptual Atomic Force Microscope using LEGO for Nanoscience Education,"Tsung-Han Hsieh, Yu-Chi Tsai, Chih-Jan Kao, Yin-Min Chang, Yen-Wen Lu",113-121
4,3,,SPECIAL ISSUE: Intelligent and Precision Manufacturing with Automation Technology,Guo-Hua Feng,123-124
4,3,,The Intelligent Automation Demands of Taiwanese Companies with Businesses in Taiwan and China,Ying-Mei Tai,125-127
4,3,,Using the Zero-Resistance Spark Circuit on the Wire Cut Electric Discharge Machine to Realize Energy Savings,"Shao-Hsien Chen, Chen-Peng Wang",128-133
4,3,,Ball Nut Preload Diagnosis of the Hollow Ball Screw through Sensed Current Signals,"Yi-Cheng Huang, Shi-Lun Sun, Kuan-Heng Peng",134-142
4,3,,Automatic Inspection and Processing of Accessory Based on Vision Stitching and Spectral Illumination,Wen-Yang Chang,143-149
4,3,,An Intelligent Fault Diagnosis System for Machine Tools,"Chia Wang, Wei-Yen Lin, Hong-Tsu Young",150-156
4,3,,Using Focused Electron Beams to Drill Straight Nanopores on a Membrane,"Yung-Cheng Wang, Dau-Chung Wang, Yung-Cheng Wang",157-162
4,3,,Automatic Calibration System for Precision Angle Measurement Devices,"Yung-Cheng Wang, Lih-Horng Shyu, Eberhard Manske, Chung-Ping Chang, Shih-Syun Lin",163-167
4,3,,Design of Wireless Sensors for Intelligent Manufacture Monitoring,"Chia-Chan Chang, Chung-Yi Liu, Kui-Hua Huang, Guo-Hua Feng",168-173
4,3,,Fabrication of sub-wavelength antireflective structure to enhance the efficiency of InGaAs solar cells,"Yen-Yu Chou, Che-Chun Chang, Yeeu-Chang Lee",174-178
4,3,,"A high performance, high precision, low cost rapid prototyping and manufacturing technology",Viacheslav R. Shulunov,179-184
4,4,,Promoting Applications of Intelligence Technology in Response to the Trend of Regional Innovation – A Look at Intelligent Tourism,"Chih-Lun Chen, Yi-Hsin Ho",185-190
4,4,,NFC Tags Based Notification System for Medical Appointments,"Quratulain Masud, Munazza Fatima, Razi Iqbal, Awais Ahmad",191-195
4,4,,Interdisciplinary Research Drivers and Serendipity Factor: An Applied Mechanics Perspective on Some Past Application Platforms,"Chih-Kung Lee, Po-Cheng Lai, Wen-Chi Chang, Yi-Ching Kuo, Pei-I Tsai, Ming-Han Chung, Julie T. Lee",228-237
