Vol,No,Year,Article,Author,Pages
4,4,,Light-Addressed Electrodeposition of Polysaccharide Chitosan Membranes on a Photoconductive Substrate,"Shih-Hao Huang, Lu-Shiuan Wei",196-201
4,4,,Chip-Level Design for Digital Microfluidic Biochips,"Shang Tsung Yu, Tsung-Yi Ho",202-207
4,4,,Set-up for an optically induced dielectrophoresis platform and its application to micro- and nanoscale material manipulation,"Yen-Heng Lin, Kai-Siang Ho, Chin-Tien Yang",208-215
4,4,,Mechatronic Systems in Digital Microfluidics,"Ping-Yi Hung, Hsin-Yi Lu, Shih-Kang Fan, Yen-Wen Lu",216-221
4,4,,Reliability Study on Compact and Portable Chemiluminescence Detector,"Kai-Di Zhang, Xiang-Yu Zeng, Zhi Zeng, Guo-Wei Tao, Jia Zhou",222-227
5,1,2015,Advanced Robotics and Control,Pei-Chun Lin,1
5,1,,Continued Evolution of Automated Manufacturing – Cloud-Enabled Digital Manufacturing,Chung-Hung Huang,45693
5,1,,Hierarchical Coordination for Multi-Robot Systems with Region-Based Tracking Control,"Chao-Wei Lin, Luis A. Sanchez-Porras, Yen-Chen Liu",45825
5,1,,Position Control of a Serial Manipulator Using Fuzzy-PID Controllers,"Yong-Lin Kuo, Shih-Min Liu",18-26
5,1,,Exposure-based Weighted Dynamic Histogram Equalization for Image Contrast Enhancement,"Yung-Yao Chen, Shin-Anne Chen",27-38
5,1,,2D-Span Resampling of Bi-RRT in Dynamic Path Planning,"Hsien-I Lin, Cheng-Sun Yang",39-48
5,1,,Tracking and Following Algorithms of Mobile Robots for Service Activities in Dynamic Environments,"Feng-Li Lian, Chin-Lung Chen, Chih-Chung Chou",49-60
5,1,,Long-term RFID SLAM using Short-Range Sparse Tags,"Jiun-Fu Chen, Chieh-Chih Wang",61-75
5,2,,New Thinking for the Development of Taiwan's Services Sector with the Emergence of Smart Manufacturing,Hsiu-Ling Li,77-80
5,2,,Minimally invasive surgery instruments based on a four-bar linkage design,"Michael Kam, Jia-Yush Yen",81-84
5,2,,An Improvement Stereo Vision Images Processing for Object Distance Measurement,"Tsung-Shiang Hsu, Ta-Chung Wang",85-90
5,2,,Development of a P300 Brain–Machine Interface and Design of an Elastic Mechanism for a Rehabilitation Robot,"Han-Pang Huang, Yi-Hung Liu, Wei-Zhi Lin, Zhi-Hao Kang, Ching-An Cheng, Tzu-Hao Huang",91-100
5,2,,A non-linear analytic stress model for the analysis on the stress interaction between TSVs,"Ming-Han Liao, Ssu-Chieh Kao, Sung-Jie Huang",101-105
5,2,,Effects of Number of Lenses in Microlens Arrays on Field of View in Integral Imaging Systems,"Pei-Chuen Chiou, Jia-Han Li",107-111
5,3,,"Smart Education Method, Technology and Environment","Shih-Chung Kang, Carrie Sturts Dossick",113-114
5,3,,An Analysis on the Intelligent Automation Demands of Taiwanese Companies in Southern China,Ying-Mei Tai,115-117
5,3,,Learning in Global Teams: BIM Planning and Coordination,"Carrie Sturts Dossick, Hoda Homayouni, Ghang Lee",119-135
5,3,,Instruction in Divergent Thinking for Conceptual Design: A Case Study Based on a Corkscrew,"Ying-Chieh Liu, Chin-Yu Kao, Amaresh Chakrabarti",137-143
5,3,,Teaching Practices for the Student Response System at National Taiwan University,"Jennifer Wen-Shya Lee, Mei-lun Shih",145-150
5,3,,CIM: Capability-Innovation-Motive Teaching Model for System Engineering Education – “Embedded Operating Systems” as an Example,"Yu-Lun Huang, Chao-Yang Cheng, Sunny S. J. Lin",151-161
5,3,,A Collaborative Authoring Workspace and Script-Based Control Platform for Heterogeneous Robots,"Jin-Ling Lin, Kao-Shing Hwang",163-171
5,3,,Overcoming technophobia in poorly-educated elderly – the HELPS-seniors service learning program,"Chwen-Chi Wang, Jin-Jong Chen",173-182
5,3,,Analysis of dynamic path loss based on the RSSI model for rupture location analysis in underground wireless sensor networks and its implications for Earthquake Early Warning System (EEWS),"Pushan Kr Dutta, O.P. Mishra, M.K. Naskar",183-194
5,4,,Smart Technology for the Older Adults to Facilitate Independent Living and Social Participation,Yeh-Liang Hsu,195-196
5,4,,An Analysis of GHG Emissions from Taiwan’s Industrial Sector,Sheng-Hsiung Chiu,197-201
5,4,,Design and Evaluation of the Walking Cane Handle Grip,"Kimitomo Taniguchi, Atsuo Takanishi",203-207
5,4,,Finite Element Analysis and Empirical Analysis of a Cost-effective Pressure Ulcer-Preventing Mattress,"Yi-Horng Lai, Lan-Yuen Guo",209-215
5,4,,Finite Element Estimation of Pressure Distribution inside the Trunk on a Mattress,"Shigekazu Ishihara, Keiko Ishihara, Mitsuo Nagamachi",217-223
5,4,,INVITATION: An Elderly Friendly ICT-enabled Interactive Installation to Promote Social Participations,"Hsiang-Lan Shih, Fang-Ting Huang, Tsang-Gang Lin, Chun-Ting Lee",225-231
5,4,,Smart Home Strategies for User-Centered Functional Assessment of Older Adults,"Vijay Kumar Ravishankar, Winslow Burleson, Diane Mahoney",233-242
5,4,,Analysis of Personal Life Patterns Using Accelerometer-Based Wearable Devices,"Yeh-Liang Hsu, Yi-Fan Jiang, Ching-Hung Lin, Tsai-Ya Lai, Cheng-Li Chang",243-248
5,4,,Design Considerations for Technology Interventions to Support Social and Physical Wellness for Older Adults with Disability,"Jenay M. Beer, Tracy L. Mitzner, Rachel E. Stuck, Wendy A. Rogers",249-264
5,4,,Frequency Domain Effect of a Hysteresis Suppression System with Inverse Preisach Model Based Control,"Hsin-Fang Tsai, Jia-Yush Yen, Lien-Sheng Chen, Hung-Cheng Chang, Jack J.H. Chen, Fu-Chen Wang, Wen-Bin Wung",265-273
6,1,2016,An Analysis of Intelligent Automation Demands in Taiwanese Firms,Ying-Mei Tai,45660
6,1,,Errors in Thermographic Camera Measurement Caused by Known Heat Sources and Depth Based Correction,"Mark Christian E. Manuel, Shu-Ping Lin, Wei-Hao Lu, Po Ting Lin",45789
6,1,,Adaptive Sliding Mode Control of a 6-DOF RLED Robot Manipulator with Uncertain Parameters and External Disturbances,"Isro Hutama, Chung-Hsien Kuo",13-24
6,1,,Chatter Identification of Face Milling Operation via Time-Frequency and Fourier Analysis,"Ching-Chih Wei, Meng-Kun Liu, Guo-Hua Huang",25-36
6,1,,An Intelligent Image Processing System for Real-Time Detection of Surface Flaws,"Yu-Cheng Chou, Wei-Chieh Liao, Ming Chang, Po Ting Lin",37-44
6,1,,A Point Cloud Alignment Algorithm Based on Stereo Vision Using Random Pattern Projection,"Chen-Sheng Chen, Mei-Yu Huang, Chun-Wei Yeh, Chien-Liang Huang",45-50
6,1,,Auto Target Tracking Robot Design Based on Smartphone,"Shuen De Wu, Kei-Siang You",51-56
6,2,,Exploring New Business Opportunities in the Changes of Customers’ Values,Ya-Ling Kao,57-58
6,2,,A Novel IHCP Calculation Scheme to Estimate Surface Heat Flux during Impinging Cooling,"Yu-Wei Liu, Chen-Kang Huang",59-67
6,2,,The Effect of Heating Conditions on Convective Boiling Characteristics of Methanol/Water Mixtures in Microchannels at Low Reynolds Number,"Chen-li Sun, Ming-Hsien Shi, Chuan-Yu Wang",69-80
6,2,,Study of the Maximum Penetration Rate of Wind Power in an Island Network,"Chia-An Chang, Yuan-Kang Wu, Shin-Yuan Huang, Bin-Kwie Chen",81-86
6,2,,Feasibility of Wind Power and Photovoltaics Replacing Nuclear Power,"Tzu Hsun Hsiao, Jong Shun Chen, Chia Yu Han",87-91
6,2,,Fault Impact Analysis and Improvements for a Large-scale Offshore Wind Farm Connected to Grid by Long HVAC Cables,"Chia-Yu Han, Feng-Jih Wu, Chih-Ju Chou, Ching-Yin Lee",93-101
6,2,,Application of Multiple Regressions to Thermal Error Compensation Technology – Experiment on Workpiece Spindle of Lathe,"Ben-Fong Yu, Kang Liu, Kun-Ying Li",103-110
6,3,,Development Opportunities of Exoskeletons,Chung-Hung Huang,101-103
6,3,,Towards the Evolution of Smart Home Environments: A Survey,"Bejarano Andrés, Fernández Alejandra, Jimeno Miguel, Salazar Augusto, Wightman Pedro",105-136
6,3,,A Load-Balanced Clustering Algorithm Using Fuzzy Logic for Maximizing Lifetime of Wireless Sensor Networks,"Dibya Ranjan Das Adhikary, Dheeresh K Mallick",137-152
6,3,,Self-tuning Control for Air Conditioning in a Room with Varying Temperature and Imperfectly Mixed Air,"K. L. Ku, T. S. Liu",153-161
6,3,,Delay Dependent Robust H_∞ Filter design for Discrete Time-delay Systems with Missing Measurements via Homogeneous Polynomial Matrices,"Aziza Zabari, El Houssaine Tissir, Said Kririm",163-175
6,3,,Bared Microtip Arrays for ECG Measurement,"Li-Sheng Hsu, Shu-Wei Tung, Che-Hsi Kuo, Cheng-Wen Ma",177-180
6,4,,Integration is the Key to Urban Evolution: Technical Challenges for the Smart City and the Internet of Thins,Po-Jung Shih,181-183
6,4,,Automated Screw Type Briquetting Machine as A Small Business Venture,"Allan Yambot, Leo Casano, Ryan Mina, Kevin Yu, Alvin Yu Chua",185-189
6,4,,Fall Detection FPGA-Based Systems: A Survey,"Sahar Abdelhedi, Riad Bourguiba, Jaouhar Mouine, Mouna Baklouti, Anis Youssef",191-202
6,4,,Development of a Capillary Electrophoresis Chip with Integrated Electrochemical Sensors,"Ming-Yuan Lee, Ching-Chou Wu",203-210
6,4,,Microfluidic Tumor-mimicking In Vitro Cell Culture Methods,"Hao-Chen Chang, Chia-Yu Tang, Hui-Ying Lin, Chia-Hsien Hsu",211-216
7,1,2017,Disposable Wireless Immuno-Sensing Chips,"Takashiro Tsukamoto, Tomohiro Ishikawa, Shuji Tanaka",45663
7,1,,Novel Trench Isolation Technology for Suspended MEMS Structures,"Wen-Cheng Kuo, Chih-Ming Liu",45852
7,1,,Switching Control in Hybrid Vehicle System Based Two Wheeler,"Arockia Vijay Joseph, Joselin Retna Kumar G",15-19
7,1,,"Economic Design of Process Mean, Standard Deviation and Screening Limits Based on Burr Distribution",Chung-Ho Chen,21-26
7,1,,Neural Network based Control Method Implemented on Ambidextrous Robot Hand,"Mashood Mukhtar, Emre Akyürek, Atiana Kalganova, Nicolas Lesne",27-32
7,2,,Sustainable Cities: Advanced Technological Development Trends,Yi-Fang Wang,33-35
7,2,,Trends in Epidermal Stretchable Electronics for Noninvasive Long-term Healthcare Applications,"Hana Han, Andreas M Reichmuth, Aline F Renz, Flurin Stauffer, Moritz Thielen, Janos Voros",37-52
7,2,,A Wirelessly Rechargeable Integrated System for Automatic Sleep Monitoring in a Smart Oral Appliance,"Kun-Ying Yeh, Kuan Tang, Chun-Chang Wu, Chia-Ming Chang, Tao Wang, Yunn-Jy Chen, Wen-Cheng Kuo, Yao-Joe Yang, Shey-Shi Lu",53-59
7,2,,Rolling Element Bearing Condition Monitoring Based on Vibration Analysis Using Statistical Parameters of Discrete Wavelet Coefficients and Neural Networks,"Vahid Kazemi Golbaghi, Mehdi Shahbazian, Bahman Moslemi, Gholamreza Rashed",61-69
7,2,,Delay-dependent Robust Stabilization for Uncertain T-S Fuzzy Systems with Additive Time Varying Delays,"Idrissi Said, E. H. Tissir, I. i Boumhid",71-78
7,2,,Color and Illuminance Uniformity Enhancement of Multi-chip White LEDs by Complementing Silica Particles,"Phu Tran Tin, Tran Hoang Quang Minh, Nguyen Huu Khanh Nhan, Nguyen Doan Quoc Anh",79-84
7,3,,Automatic Image Processing based Size Characterization of Green Pellets,"Vasanth Subramanyam, Prabal Patra, Manish Kumar Singh",85-91
7,3,,Curve Fitting of NURBS Curve for CNC Motion Controller,"Chin-Sheng Chen, Cheng-Yin Tsai",93-100
7,3,,Estimation and Compensation of the LuGre Friction Model in High-Speed Micro-Motion Control,"Cong-Sheng Huang, Syh-Shiuh Yeh, Pau-Lo Hsu",101-109
7,3,,Dual-Objective Energy Management Strategy for HEV,"Yen-Hsiang Huang, Nan-Chyuan Tsai",111-118
7,3,,Dual estimation of lateral analysis for railway vehicle wheelset to control disturbance for smooth running,Zulfiqar Ali Soomro,119-123
7,3,,Intelligent Sensing Unit for Estimation Roughness of Electrical Discharge Machining,"Haw-Ching Yang, Chun-Hong Cheng, Ting-Wei Su, Lu-Wen Kung, Chia-Ming Jan, Wen-Chieh Wu, Min-Nan Wu",125-131
7,3,,Iterative Learning Control for Trajectory Tracking of Robot Manipulators,"Tesheng Hsiao, Po-Hao Huang",133-139
7,4,,Sustainable Performance of Taiwanese Manufacturing Industries Over the Past Decade (2006-2015),"Tzu-Yu Lin, Sheng-Hsiung Chiu, Helen Yang",141-146
7,4,,User Interface on Smartphone for Elderly Users,"Raywadee Sakdulyatham, Somjaree Preeyanont, Rajalida Lipikorn, Rewadee Watakakosol",147-155
7,4,,Development of a Natural User Interface Based Cyclist Signaling Vest,"Nan-Ching Tai, Shu-Chun Hu",157-162
7,4,,"New Design and Automation Concept of an Energy-Efficient, Tertiary Building for Mixed-Mode Ventilation System","Dan William C. Martinez, Alvin Y. Chua",163-178
7,4,,Monotonic Switching Iterative Learning Control Method for a Class of Discrete Time Switched System,"H.E. Ouerfelli, S. Ben Attia, S. Salhi",179-186
7,4,,"TiO2, SiO2, CaF2, and CaCO3: the Influence of Particles’ Concentration on Luminous Efficiency of the Conformal Geometry MCW-LEDs","Le Anh Vu, Hoang Quang Minh Tran, Tran Thanh Nam",187-191
8,1,2018,Enhanced Roll Powder Sintering Additive Manufacturing Technology,Vyacheslav R. Shulunov,45665
8,1,,Implementation of Odometry with EKF in Hector SLAM Methods,"Ming-Yi Ju, Yu-Jen Chen, Wei-Cheng Jiang",45918
8,1,,Object Recognition and Cooperative Pick-and-Place of a Single Spherical Wheeled Mobile Robot with Dual Arms,"Jhen-Chi Tang, Ching-Chih Tsai, Feng-Chun Tai",19-27
8,1,,Music Play Using a Vibraphone with a Humanoid Robot as Interaction Training for Autistic Children,"Ying Hua Peng, Ming Liang Wang, Norbert Michael Mayer, Yu-Fen Peng, Joanna Kossewska",29-34
8,1,,Using Red-Emitting Ca2Si5N8Eu2+ Phosphor for Improving Color Uniformity and Color Quality Scale of the in-cup Packaging MCW-LEDs,"Tran Thanh Nam, Tran Hoang Quang Minh, Le Anh Vu",35-40
8,1,,Adaptive Reinforcement Learning in Box-Pushing Robots,"Kao-Shing Hwang, Jin-Ling Lin",41-49
8,1,,Force Sensorless Compliance Control of a Lower-limb Exoskeleton Robot,"Chung-Hsien Kuo, Andika Pramanta Yudha, Suvendu Kumar Mohapatra",51-60
8,2,,From the Cloud to the Edge: The Technical Characteristics and Application Scenarios of Fog Computing,Po-Jung Shih,61-64
8,2,,Remote Speed Control of Brushless DC Motor with Display,"S. Behera, P. K. Muduli",65-71
8,2,,Machine Monitoring Using Fuzzy-Neural Networks,"Kuo-Cheng Ting, Tzu-Yu Lin, Yi-Chung Chen, Jia-Ching Ying, Don-Lin Yang, Hsi-Min Chen",73-78
8,2,,Developing an Ornamental Fish Warehousing System Based on Big Video Data,"Chao-Lieh Chen, Chia-Chun Chang, Chao-Chun Chen, Ting-Shuo Chang, Xu-Hua Zeng, Jing-Wen Liu, Zhu-Wei Wang, Wei-Cheng Lu",79-83
8,2,,Uniform Design and Regression Analysis Methods for Optimal Operational Parameter Design of High-pressure Waterjet Machine,"Sheng-Wen Huang, Jyh-Horng Chou, Jinn-Tsong Tsai",85-88
8,2,,An Integrated Smarter Cutting Parameter Selection System with a Case Study for Pocket Milling,"Yung-Chou Kao, Da-Min Lin, Jian-Zhang Wu, Trung-Kien Vi",89-97
8,2,,Effective Supervisor Synthesis for Automated Manufacturing Systems Based on Finite State Automata,"Ho-Shan Chiang, Yen-Liang Pan",99-105
8,3,,"Effect of Green-emitting CaF2:Ce3+,Tb3+ Phosphor Concentration on the Correlated Color Temperature Deviation and the Lumen Output of the 7700 K Conformal Packaging WLEDst","Phu Tran Tin, Tran Hoang Quang Minh, Nguyen Huu Khanh Nhan, Tran Thanh Trang",107-111
8,3,,Intelligent Flow Regime Identification Using IR Sensor and 3.5mm Headphone Jack,"G. C. Keerthi Vasan, Muniyandi Venkatesan",113-118
8,3,,Smart Meter Solution for Developing and Emerging Economies,"A. E. Ibhaze, M. U. Akpabio, A. A. A. Atayero",119-126
8,3,,Robust Observer-based Control Design for Singular Systems with Delays in States,"Ahmed Ech-charqy, Mohamed Ouahi, El Houssaine Tissir",127-137
8,3,,Latent Fingerprint Enhancement Based on Directional Total Variation Model with Lost Minutia Reconstruction,"Abdilahi Liban, Shadi M. S. Hilles",139-144
9,1,2019,Concept Development and Design of Self-Transfer Devices for Wheelchair Users,"R. Hari Krishnan, S. Pugazhenthi",45668
9,1,,Internet of Energy: A Design to Manage Energy Consumption for Off-Grid Building,Ahmed Jabbar Abid,13-22
9,1,,A Novel Approach to Optimize Numerical Control Codes Using a Systematic Block Management Method,"Leapheng Uon, Calvin Alexander Yu Ng, Francis Gregory Lao Ng, Sharaful-Ilmi Abdulkadir Paduman, Alvin Chua",23-32
9,1,,Smart Irrigation System Using Wireless Sensor Network with Cooja and Contiki,"Asir Antony Gnana Singh, Jebamalar Leavline, M. Sushmitha, E. Manjula",33-39
9,2,,Ethical Guidelines for Artificial Intelligence (AI) Development and the New “Trust” Between Humans and Machines,Po-Jung Shih,41-43
9,2,,Intelligent Model for Improving the Capacity of Wireless Adhoc Network,Suresh Shioprasad Kurumbanshi,45-51
9,2,,A NEW SLIDING MODE CONTROLLER IMPLEMENTATION ON AN AUTONOMOUS QUADCOPTER SYSTEM,"Jayson Levin Pita Piquero, Vincent Kyle Delica, Alfred Loue Orquia, Eloise Margarett Reynaldo, Joel Ilao, Maria Antonette Roque, Edwin Sybingco, Alvin Chua, Jayantha Katupitya, Hiranya Jayakody",53-63
9,2,,An Efficient Technique for Double Faults Detection and their Locations Identification in Digital Microfluidic Biochip,"Atashi Saha, Mukta Majumder",65-75
9,2,,A Novel Design of an Automation System for an Energy-Efficient Polygeneration Plant,"Vince William Carandang, Aaron Jules Del Rosario, Julius Ezra Gundran, Alvin Chua",77-89
9,2,,Hydraulic Servo System Control Using Differential Evolution Based Robust Structure Specified H∞ Controller,dechrit maneetham,89-95
9,3,,Performance Analysis of MIMO-OFDM System Based on SVD scheme under multi path selective fading channel,bakir ali hadj ali,97-105
9,3,,Study of Neural Network Training Algorithms in Detection of Wood Surface Defects,"M.Thilagavathi Chandirasekaran, S.Abirami Sathappan",107-113
9,3,,Automated Dispatch of Wind Power On Microgrid For Voltage Regulation,"Nithin Somasundaran, Vijith Kayani, Rajinikandh Chandrasekhar, Sasi K Kottayil",115-120
9,3,,Fault Detection and Isolation For Wind Turbine System Based On Proportional Multi-Integral Observer (PMIO),"Yassine FADILI, Kaoutar LAHMADI, Ismail BOUMHIDI",121-137
9,3,,A Morphology Approach for Fault Location on Transmission Lines,"Khalil Gorgani Firouzjah, mojtaba mohamadi",139-145
9,3,,A Novel Discovery Protocol for IoT Based Home Automation,"Tyler Nicholas Edward Steane, PJ Radcliffe",147-158
10,1,2020,Increasing Material Efficiency of Additive Manufacturing through Lattice Infill Pattern,"Timothy Scott Co Chu, Von Eric Abag Damirez, Luzviminda Juanitez Ramos, Hedrick Justalero Sipacio, Leonardo Apresto Venancio, Alvin Yu Chua",101-108
10,1,,Highly Robust and Automated Vision Based Filamentous Steel Strip Crack Detection System,"ASHA BHARATHI SHANKARATHOTA, RAVI KUMAR M S",109-123
10,1,,Fuzzy observer-controller design in finite frequency domain: application to wind turbine,kaoutar lahmadi,125-134
10,1,,A new diagnosis approach of hybrid systems through Observers and hybrid automata,"Ayman Abboudi, Fouad BELMAJDOUB",135-143
10,1,,Using neural networks to detect wind turbine functioning conditions,"GINO IANNACE, Giuseppe Ciaburro, Amelia Trematerra",145-152
10,1,,Industrial Internet of Things Implementation Strategies with HCI for Adoption,"SUJITA JIWANGKURA, Peraphon Sophatsathit, Achara Chandrachai",153-168
10,1,,A REAL TIME IOT ENHANCED GLUCOSE MONITORING SYSTEM (EGMS) FOR DIABETES PATIENTS,Akanbi Caleb Olufisoye,301-358
10,1,,ENERGY CHANNELING LED DRIVER TECHNOLOGY TO ACHIEVE FLICKER FREE OPERATION WITH ZETA CONVERTER FOR POWER QUALITY IMPROVEMENT,"Bhaskar K.B., Paramasivam Alagumariappan, Mohamed Shuaib Y",401-407
10,1,,A Photovoltaic Surveillance System for Performance Evaluation and Faults Detection at the Field,"Ahmed Jabbar Abid, Fawzi M. Al-Naima",409-420
10,1,,An Application of a 3-RRRS 6 DOF Parallel Manipulator,Anjan Kumar Dash,501-509